# 2D Lookup Table
# Format: x1 x2 z
# Grid: 7 × 7

0.000000000000e+00	0.000000000000e+00	1.200000000000e+01
0.000000000000e+00	1.500000000000e-01	1.811679000000e-02
0.000000000000e+00	3.000000000000e-01	1.811679000000e-02
0.000000000000e+00	4.500000000000e-01	1.811702000000e-02
0.000000000000e+00	6.000000000000e-01	1.819035000000e-02
0.000000000000e+00	7.500000000000e-01	3.235815000000e-02
0.000000000000e+00	9.000000000000e-01	1.446252000000e-01
1.500000000000e-01	0.000000000000e+00	1.811679000000e-02
1.500000000000e-01	1.500000000000e-01	1.811679000000e-02
1.500000000000e-01	3.000000000000e-01	1.811679000000e-02
1.500000000000e-01	4.500000000000e-01	1.811702000000e-02
1.500000000000e-01	6.000000000000e-01	1.819035000000e-02
1.500000000000e-01	7.500000000000e-01	3.235815000000e-02
1.500000000000e-01	9.000000000000e-01	1.446252000000e-01
3.000000000000e-01	0.000000000000e+00	1.811679000000e-02
3.000000000000e-01	1.500000000000e-01	1.811679000000e-02
3.000000000000e-01	3.000000000000e-01	1.811679000000e-02
3.000000000000e-01	4.500000000000e-01	1.811702000000e-02
3.000000000000e-01	6.000000000000e-01	1.819035000000e-02
3.000000000000e-01	7.500000000000e-01	3.235815000000e-02
3.000000000000e-01	9.000000000000e-01	1.446252000000e-01
4.500000000000e-01	0.000000000000e+00	1.811702000000e-02
4.500000000000e-01	1.500000000000e-01	1.811702000000e-02
4.500000000000e-01	3.000000000000e-01	1.811702000000e-02
4.500000000000e-01	4.500000000000e-01	1.811724000000e-02
4.500000000000e-01	6.000000000000e-01	1.819058000000e-02
4.500000000000e-01	7.500000000000e-01	3.235824000000e-02
4.500000000000e-01	9.000000000000e-01	1.446252000000e-01
6.000000000000e-01	0.000000000000e+00	1.819037000000e-02
6.000000000000e-01	1.500000000000e-01	1.819037000000e-02
6.000000000000e-01	3.000000000000e-01	1.819037000000e-02
6.000000000000e-01	4.500000000000e-01	1.819059000000e-02
6.000000000000e-01	6.000000000000e-01	1.826354000000e-02
6.000000000000e-01	7.500000000000e-01	3.238814000000e-02
6.000000000000e-01	9.000000000000e-01	1.446256000000e-01
7.500000000000e-01	0.000000000000e+00	3.235822000000e-02
7.500000000000e-01	1.500000000000e-01	3.235822000000e-02
7.500000000000e-01	3.000000000000e-01	3.235822000000e-02
7.500000000000e-01	4.500000000000e-01	3.235831000000e-02
7.500000000000e-01	6.000000000000e-01	3.238820000000e-02
7.500000000000e-01	7.500000000000e-01	4.009301000000e-02
7.500000000000e-01	9.000000000000e-01	1.447505000000e-01
9.000000000000e-01	0.000000000000e+00	1.446715000000e-01
9.000000000000e-01	1.500000000000e-01	1.446715000000e-01
9.000000000000e-01	3.000000000000e-01	1.446715000000e-01
9.000000000000e-01	4.500000000000e-01	1.446715000000e-01
9.000000000000e-01	6.000000000000e-01	1.446718000000e-01
9.000000000000e-01	7.500000000000e-01	1.447673000000e-01
9.000000000000e-01	9.000000000000e-01	1.638014000000e-01
