# 2D Lookup Table
# Format: x1 x2 z
# Grid: 7 × 7

0.000000000000e+00	0.000000000000e+00	1.200000000000e+01
0.000000000000e+00	1.500000000000e-01	1.200000000000e+01
0.000000000000e+00	3.000000000000e-01	1.200000000000e+01
0.000000000000e+00	4.500000000000e-01	1.200000000000e+01
0.000000000000e+00	6.000000000000e-01	1.200000000000e+01
0.000000000000e+00	7.500000000000e-01	1.200000000000e+01
0.000000000000e+00	9.000000000000e-01	1.200000000000e+01
1.500000000000e-01	0.000000000000e+00	1.200000000000e+01
1.500000000000e-01	1.500000000000e-01	1.200000000000e+01
1.500000000000e-01	3.000000000000e-01	1.200000000000e+01
1.500000000000e-01	4.500000000000e-01	1.200000000000e+01
1.500000000000e-01	6.000000000000e-01	1.200000000000e+01
1.500000000000e-01	7.500000000000e-01	1.200000000000e+01
1.500000000000e-01	9.000000000000e-01	1.200000000000e+01
3.000000000000e-01	0.000000000000e+00	1.200000000000e+01
3.000000000000e-01	1.500000000000e-01	1.200000000000e+01
3.000000000000e-01	3.000000000000e-01	1.200000000000e+01
3.000000000000e-01	4.500000000000e-01	1.200000000000e+01
3.000000000000e-01	6.000000000000e-01	1.200000000000e+01
3.000000000000e-01	7.500000000000e-01	1.200000000000e+01
3.000000000000e-01	9.000000000000e-01	1.200000000000e+01
4.500000000000e-01	0.000000000000e+00	1.199998000000e+01
4.500000000000e-01	1.500000000000e-01	1.199998000000e+01
4.500000000000e-01	3.000000000000e-01	1.199998000000e+01
4.500000000000e-01	4.500000000000e-01	1.199998000000e+01
4.500000000000e-01	6.000000000000e-01	1.199998000000e+01
4.500000000000e-01	7.500000000000e-01	1.199999000000e+01
4.500000000000e-01	9.000000000000e-01	1.200000000000e+01
6.000000000000e-01	0.000000000000e+00	1.199278000000e+01
6.000000000000e-01	1.500000000000e-01	1.199278000000e+01
6.000000000000e-01	3.000000000000e-01	1.199278000000e+01
6.000000000000e-01	4.500000000000e-01	1.199279000000e+01
6.000000000000e-01	6.000000000000e-01	1.199281000000e+01
6.000000000000e-01	7.500000000000e-01	1.199583000000e+01
6.000000000000e-01	9.000000000000e-01	1.199995000000e+01
7.500000000000e-01	0.000000000000e+00	1.066327000000e+01
7.500000000000e-01	1.500000000000e-01	1.066327000000e+01
7.500000000000e-01	3.000000000000e-01	1.066327000000e+01
7.500000000000e-01	4.500000000000e-01	1.066328000000e+01
7.500000000000e-01	6.000000000000e-01	1.066478000000e+01
7.500000000000e-01	7.500000000000e-01	1.100218000000e+01
7.500000000000e-01	9.000000000000e-01	1.198220000000e+01
9.000000000000e-01	0.000000000000e+00	6.742898000000e+00
9.000000000000e-01	1.500000000000e-01	6.742898000000e+00
9.000000000000e-01	3.000000000000e-01	6.742898000000e+00
9.000000000000e-01	4.500000000000e-01	6.742898000000e+00
9.000000000000e-01	6.000000000000e-01	6.742951000000e+00
9.000000000000e-01	7.500000000000e-01	6.760290000000e+00
9.000000000000e-01	9.000000000000e-01	9.343460000000e+00
