 time            v(final_out)   
 1.51716793e-09  6.34724842e-01 
 1.52716793e-09  6.34724843e-01 
 1.53716793e-09  6.34724843e-01 
 1.54716793e-09  6.34724844e-01 
 1.55716793e-09  6.34724843e-01 
 1.56716793e-09  6.34724843e-01 
 1.57716793e-09  6.34724842e-01 
 1.58716793e-09  6.34724842e-01 
 1.59716793e-09  6.34724841e-01 
 1.60716793e-09  6.34724841e-01 
 1.61716793e-09  6.34724841e-01 
 1.62716793e-09  6.34724841e-01 
 1.63716793e-09  6.34724841e-01 
 1.64716793e-09  6.34724842e-01 
 1.65716793e-09  6.34724842e-01 
 1.66716793e-09  6.34724843e-01 
 1.67716793e-09  6.34724843e-01 
 1.68716793e-09  6.34724844e-01 
 1.69716793e-09  6.34724843e-01 
 1.70716793e-09  6.34724843e-01 
 1.71716793e-09  6.34724842e-01 
 1.72716793e-09  6.34724842e-01 
 1.73716793e-09  6.34724841e-01 
 1.74716793e-09  6.34724841e-01 
 1.75716793e-09  6.34724841e-01 
 1.76716793e-09  6.34724841e-01 
 1.77716793e-09  6.34724841e-01 
 1.78716793e-09  6.34724842e-01 
 1.79716793e-09  6.34724842e-01 
 1.80716793e-09  6.34724843e-01 
 1.81716793e-09  6.34724843e-01 
 1.82716793e-09  6.34724843e-01 
 1.83716793e-09  6.34724843e-01 
 1.84716793e-09  6.34724843e-01 
 1.85716793e-09  6.34724842e-01 
 1.86716793e-09  6.34724841e-01 
 1.87716793e-09  6.34724841e-01 
 1.88716793e-09  6.34724841e-01 
 1.89716793e-09  6.34724840e-01 
 1.90716793e-09  6.34724840e-01 
 1.91716793e-09  6.34724841e-01 
 1.92716793e-09  6.34724841e-01 
 1.93716793e-09  6.34724841e-01 
 1.94716793e-09  6.34724842e-01 
 1.95716793e-09  6.34724842e-01 
 1.96716793e-09  6.34724842e-01 
 1.97716793e-09  6.34724842e-01 
 1.98716793e-09  6.34724841e-01 
 1.99716793e-09  6.34724840e-01 
 2.00716793e-09  6.34724840e-01 
 2.01716793e-09  6.34724839e-01 
 2.02716793e-09  6.34724839e-01 
 2.03716793e-09  6.34724838e-01 
 2.04716793e-09  6.34724838e-01 
 2.05716793e-09  6.34724838e-01 
 2.06716793e-09  6.34724838e-01 
 2.07716793e-09  6.34724838e-01 
 2.08716793e-09  6.34724838e-01 
 2.09716793e-09  6.34724838e-01 
 2.10716793e-09  6.34724838e-01 
 2.11716793e-09  6.34724837e-01 
 2.12716793e-09  6.34724836e-01 
 2.13716793e-09  6.34724835e-01 
 2.14716793e-09  6.34724834e-01 
 2.15716793e-09  6.34724833e-01 
 2.16716793e-09  6.34724832e-01 
 2.17716793e-09  6.34724831e-01 
 2.18716793e-09  6.34724830e-01 
 2.19716793e-09  6.34724829e-01 
 2.20716793e-09  6.34724828e-01 
 2.21716793e-09  6.34724828e-01 
 2.22716793e-09  6.34724827e-01 
 2.23716793e-09  6.34724825e-01 
 2.24716793e-09  6.34724824e-01 
 2.25716793e-09  6.34724822e-01 
 2.26716793e-09  6.34724820e-01 
 2.27716793e-09  6.34724818e-01 
 2.28716793e-09  6.34724815e-01 
 2.29716793e-09  6.34724813e-01 
 2.30716793e-09  6.34724810e-01 
 2.31716793e-09  6.34724807e-01 
 2.32716793e-09  6.34724805e-01 
 2.33716793e-09  6.34724802e-01 
 2.34716793e-09  6.34724799e-01 
 2.35716793e-09  6.34724795e-01 
 2.36716793e-09  6.34724792e-01 
 2.37716793e-09  6.34724788e-01 
 2.38716793e-09  6.34724783e-01 
 2.39716793e-09  6.34724779e-01 
 2.40716793e-09  6.34724773e-01 
 2.41716793e-09  6.34724767e-01 
 2.42716793e-09  6.34724761e-01 
 2.43716793e-09  6.34724754e-01 
 2.44716793e-09  6.34724747e-01 
 2.45716793e-09  6.34724740e-01 
 2.46716793e-09  6.34724732e-01 
 2.47716793e-09  6.34724724e-01 
 2.48716793e-09  6.34724715e-01 
 2.49716793e-09  6.34724706e-01 
 2.50716793e-09  6.34724696e-01 
 2.51716793e-09  6.34724685e-01 
 2.52716793e-09  6.34724673e-01 
 2.53716793e-09  6.34724660e-01 
 2.54716793e-09  6.34724646e-01 
 2.55716793e-09  6.34724631e-01 
 2.56716793e-09  6.34724616e-01 
 2.57716793e-09  6.34724599e-01 
 2.58716793e-09  6.34724581e-01 
 2.59716793e-09  6.34724562e-01 
 2.60716793e-09  6.34724542e-01 
 2.61716793e-09  6.34724521e-01 
 2.62716793e-09  6.34724498e-01 
 2.63716793e-09  6.34724474e-01 
 2.64716793e-09  6.34724448e-01 
 2.65716793e-09  6.34724421e-01 
 2.66716793e-09  6.34724391e-01 
 2.67716793e-09  6.34724360e-01 
 2.68716793e-09  6.34724327e-01 
 2.69716793e-09  6.34724291e-01 
 2.70716793e-09  6.34724253e-01 
 2.71716793e-09  6.34724213e-01 
 2.72716793e-09  6.34724170e-01 
 2.73716793e-09  6.34724125e-01 
 2.74716793e-09  6.34724077e-01 
 2.75716793e-09  6.34724027e-01 
 2.76716793e-09  6.34723973e-01 
 2.77716793e-09  6.34723916e-01 
 2.78716793e-09  6.34723856e-01 
 2.79716793e-09  6.34723791e-01 
 2.80716793e-09  6.34723723e-01 
 2.81716793e-09  6.34723651e-01 
 2.82716793e-09  6.34723575e-01 
 2.83716793e-09  6.34723494e-01 
 2.84716793e-09  6.34723408e-01 
 2.85716793e-09  6.34723317e-01 
 2.86716793e-09  6.34723222e-01 
 2.87716793e-09  6.34723120e-01 
 2.88716793e-09  6.34723014e-01 
 2.89716793e-09  6.34722901e-01 
 2.90716793e-09  6.34722782e-01 
 2.91716793e-09  6.34722656e-01 
 2.92716793e-09  6.34722523e-01 
 2.93716793e-09  6.34722383e-01 
 2.94716793e-09  6.34722235e-01 
 2.95716793e-09  6.34722079e-01 
 2.96716793e-09  6.34721914e-01 
 2.97716793e-09  6.34721741e-01 
 2.98716793e-09  6.34721558e-01 
 2.99716793e-09  6.34721365e-01 
 3.00716793e-09  6.34721162e-01 
 3.01716793e-09  6.34720949e-01 
 3.02716793e-09  6.34720724e-01 
 3.03716793e-09  6.34720488e-01 
 3.04716793e-09  6.34720240e-01 
 3.05716793e-09  6.34719978e-01 
 3.06716793e-09  6.34719704e-01 
 3.07716793e-09  6.34719415e-01 
 3.08716793e-09  6.34719111e-01 
 3.09716793e-09  6.34718792e-01 
 3.10716793e-09  6.34718457e-01 
 3.11716793e-09  6.34718105e-01 
 3.12716793e-09  6.34717736e-01 
 3.13716793e-09  6.34717348e-01 
 3.14716793e-09  6.34716942e-01 
 3.15716793e-09  6.34716516e-01 
 3.16716793e-09  6.34716069e-01 
 3.17716793e-09  6.34715601e-01 
 3.18716793e-09  6.34715110e-01 
 3.19716793e-09  6.34714596e-01 
 3.20716793e-09  6.34714058e-01 
 3.21716793e-09  6.34713494e-01 
 3.22716793e-09  6.34712903e-01 
 3.23716793e-09  6.34712285e-01 
 3.24716793e-09  6.34711638e-01 
 3.25716793e-09  6.34710962e-01 
 3.26716793e-09  6.34710254e-01 
 3.27716793e-09  6.34709515e-01 
 3.28716793e-09  6.34708742e-01 
 3.29716793e-09  6.34707934e-01 
 3.30716793e-09  6.34707090e-01 
 3.31716793e-09  6.34706209e-01 
 3.32716793e-09  6.34705289e-01 
 3.33716793e-09  6.34704328e-01 
 3.34716793e-09  6.34703325e-01 
 3.35716793e-09  6.34702279e-01 
 3.36716793e-09  6.34701187e-01 
 3.37716793e-09  6.34700048e-01 
 3.38716793e-09  6.34698861e-01 
 3.39716793e-09  6.34697623e-01 
 3.40716793e-09  6.34696333e-01 
 3.41716793e-09  6.34694989e-01 
 3.42716793e-09  6.34693589e-01 
 3.43716793e-09  6.34692131e-01 
 3.44716793e-09  6.34690613e-01 
 3.45716793e-09  6.34689033e-01 
 3.46716793e-09  6.34687389e-01 
 3.47716793e-09  6.34685678e-01 
 3.48716793e-09  6.34683898e-01 
 3.49716793e-09  6.34682047e-01 
 3.50716793e-09  6.34680122e-01 
 3.51716793e-09  6.34678121e-01 
 3.52716793e-09  6.34676042e-01 
 3.53716793e-09  6.34673881e-01 
 3.54716793e-09  6.34671636e-01 
 3.55716793e-09  6.34669305e-01 
 3.56716793e-09  6.34666885e-01 
 3.57716793e-09  6.34664372e-01 
 3.58716793e-09  6.34661765e-01 
 3.59716793e-09  6.34659059e-01 
 3.60716793e-09  6.34656253e-01 
 3.61716793e-09  6.34653342e-01 
 3.62716793e-09  6.34650324e-01 
 3.63716793e-09  6.34647194e-01 
 3.64716793e-09  6.34643951e-01 
